Id;X  [mm];Y  [mm];Z  [mm];U(95)  [mm];U(95) X  [mm];U(95) Y  [mm];U(95) Z  [mm];Tilt  [deg];Q0 ;Q1 ;Q2 ;Q3 ;Image RMS  [�m];Target;Temperature  [�C];Pressure  [mBar];Humidity  [%];Time Stamp;OTG Applied;Delete;
18;2148,95452152229;1164,90136758576;-510,978029966009;0;0;0;0;11,7274115686704;0,575803624412076;0,578531709704729;-0,409925199363372;-0,407078098043777;0,364505755455243;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,3768749237061;988,325988769531;32,5999984741211;'04.04.2024 11:48:59.833;False;;
19;1836,21702448373;906,608537427499;-513,248547141793;0;0;0;0;11,1656181313198;0,575812781802694;0,578635016417385;-0,410033703426119;-0,406808947963237;0,334954928084397;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,3768749237061;988,325988769531;32,5999984741211;'04.04.2024 11:49:21.641;False;;
20;1893,81901483804;940,068888909961;-512,855396015265;0;0;0;0;11,0286084659055;0,575799713985643;0,57854265419234;-0,410031360165043;-0,406961141063049;0,335033157239069;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,3768749237061;988,325988769531;32,5999984741211;'04.04.2024 11:49:26.544;False;;
21;1951,45806759763;973,5170383793;-512,468677121407;0;0;0;0;10,9020737545421;0,575791938857459;0,578551567440238;-0,409968191886606;-0,40702310573288;0,339424321168747;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,6025218963623;988,325988769531;32,5999984741211;'04.04.2024 11:49:31.463;False;;
22;2009,17743102972;1006,94561621071;-512,09396957717;0;0;0;0;10,7916191797574;0,575779828957169;0,578528965379599;-0,409955077448687;-0,40708556748785;0,342945325987167;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,6025218963623;988,325988769531;32,5999984741211;'04.04.2024 11:49:36.394;False;;
23;2066,93411843292;1040,39563243803;-511,734339017899;0;0;0;0;10,6945837932758;0,57576644660535;0,578524478807408;-0,409961252894336;-0,407104651790386;0,334625962421691;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,6025218963623;988,325988769531;32,5999984741211;'04.04.2024 11:49:41.346;False;;
24;2124,65859331443;1073,52361632187;-511,377457617391;0;0;0;0;10,6000996029486;0,575857775563077;0,578457523750619;-0,410050824273909;-0,406980389026466;0,317134565812141;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,6025218963623;988,325988769531;32,5999984741211;'04.04.2024 11:49:46.302;False;;
26;2182,39668929099;1106,98578684055;-511,033918630479;0;0;0;0;10,5175357774927;0,575860896787396;0,578452146963919;-0,410009652024668;-0,40702509317075;0,31574905243865;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,6025218963623;988,325988769531;32,5999984741211;'04.04.2024 11:49:51.301;False;;
27;1869,54764655694;848,974059890932;-513,354134791695;0;0;0;0;10,0622816614119;0,575811579957709;0,578614442421795;-0,409968921462398;-0,406905191466611;0,365765179607637;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,6025218963623;988,325988769531;32,5999984741211;'04.04.2024 11:50:13.286;False;;
28;1927,16654571349;882,396245411792;-512,953058512247;0;0;0;0;9,9173177973247;0,575775799689913;0,578586766358224;-0,409909567508901;-0,407054945616978;0,3259941632679;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,6025218963623;988,325988769531;32,5999984741211;'04.04.2024 11:50:18.343;False;;
29;1984,73237063805;915,962839051476;-512,562263624095;0;0;0;0;9,78788303638785;0,575743593962651;0,578626051335705;-0,40977713544221;-0,407177978279028;0,353838105745817;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,6025218963623;988,325988769531;32,5999984741211;'04.04.2024 11:50:23.421;False;;
30;2042,40255121821;949,446966337923;-512,174432446439;0;0;0;0;9,6788926136;0,575715341693555;0,578593514264413;-0,409760461178464;-0,407280928898765;0,407708622751493;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,6025218963623;988,325988769531;32,5999984741211;'04.04.2024 11:50:28.548;False;;
31;2100,23366020799;982,754042524219;-511,823416808082;0;0;0;0;9,58780177825007;0,575704348008283;0,57857219632426;-0,409841359360223;-0,407245352929465;0,322521206901002;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,6025218963623;988,325988769531;32,5999984741211;'04.04.2024 11:50:33.674;False;;
32;2157,95370849204;1015,93572051546;-511,484516208043;0;0;0;0;9,49747355057041;0,575788381918123;0,578527474267645;-0,409897058527628;-0,407134010094965;0,318575664898808;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,6025218963623;988,325988769531;32,5999984741211;'04.04.2024 11:50:38.837;False;;
34;2215,7804659652;1049,22450512557;-511,142008499532;0;0;0;0;9,41726217393314;0,575883017030315;0,578477078935474;-0,409961743686117;-0,407006619794055;0,344449240052703;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,6025218963623;988,325988769531;32,5999984741211;'04.04.2024 11:50:43.967;False;;
35;1903,07106663908;791,145942037517;-513,423704043597;0;0;0;0;9,22638497207828;0,575786214566701;0,578667350669385;-0,409991572117985;-0,406843020311823;0,327261748785491;TMC 30-M #5836 - Touch-Trigger Tip 0070-TouchTrigger - Face 3;21,4936351776123;988,325988769531;32,5999984741211;'04.04.2024 11:51:06.125;False;;
